name,description,category,type,height,weight
metapod,"When preparing to evolve, Caterpie spin cocoons around themselves. These cocoons, while still vulnerable when soft, will eventually harden into iron-hard casings, triggering their evolutions into Metapod.
To avoid attacks, these Pokémon stay motionless and simply ​wait. Metapod are remarkably patient, enduring whatever pain they must to reach their final stages. They must remain upright while biding their time or risk spilling out their innards.
They are often regarded as nearly useless in battle, as freshly-caught Metapod are incapable of damaging foes at all (other than by using Struggle). Luckily, however, the Caterpie line undergoes some of the quickest evolutions known to date, and it does not take very long for Metapod to finally evolve into Butterfree.
",Cocoon Pokémon,bug,2′04″,21.8
butterfree,"Butterfree consume honey from flowers and are excellent at detecting sources of it. They can trace minutes amounts of pollen back to flower patches, where they then feast on honey and nectar. Using the hairs on their legs, Butterfree are also able to carry the sticky substance back to their nests. They often fly as far as 6 miles (10 kilometers) to find nectar in blooming flowers.
Because of their water-resistant wings, Butterfree can often be found fluttering about in the misty upper levels of rainforests. However, the high moisture is not necessary for their survival; they are simply highly tolerant of it, so they are also found in drier forests as well, often flying in small swarms to search out locations where honey is abundant. They sometimes compete with Cutiefly for territory.
",Butterfly Pokémon,"bug,flying",3′07″,70.5
weedle,"The stingers and brightly colored bodies of these Pokémon are intended to ward off potential predators who would not enjoy a mouthful of toxins. Weedle also have a sharp sense of smell, using their nose-like proboscises to sense which leaves are safe to consume. Some Weedle even develop preferences for certain leaves. They are voracious eaters, consuming their weight in leaves daily.
",Hairy Bug Pokémon,"bug,poison",1′00″,7.1
kakuna,"Weedle seek out trees, branches or piles of leaves to hide in; when they evolve into Kakuna, their ability to move becomes severely restricted, and they can only inch about very slowly. They can sometimes be seen hanging from tree branches on strands of silk in large numbers. Kakuna can only learn Harden naturally. When provoked, though, they can also extend poison barbs from their tips slightly to defend themselves. These Pokémon try to conserve as much energy as possible for evolution, however, so they will only exert energy to unsheathe their barbs when absolutely necessary.
Their hard cocoons protect the soft bodies within, which essentially liquify as they reconfigure themselves for evolution. This process, a fervor of activity that contrasts their immobility, causes their internal body temperatures to rise drastically, so much so that the shells of Kakuna nearing evolution feel uncomfortably hot to the touch. Their bodies only continue to heat up as they draw closer to their final transformations.
",Cocoon Pokémon,"bug,poison",2′00″,22
beedrill,"Beedrill is extremely territorial and will attack anyone who gets too close to their hive.
They are aggressive Pokémon and collectively attack the people around them. As seen in ""Challenge of the Samurai"", they are also concerned with the welfare of their previous forms. Beedrill are also vital to the ecosystems of Kantonian and Johtonian forests, helping prevent populations of Pokémon such as Paras and Pidgey from growing uncontrollably. Trainers traveling in Beedrill territory are strongly advised to bring along Pokémon that can handle Beedrill and their attacks, such as Twineedle and Poison Jab, as well as to bring along a number Pecha Berries and Antidotes.
",Poison Bee Pokémon,"bug,poison",3′03″,65
pidgey,"Pidgey are very docile Pokémon that prefer to avoid confrontation with other Pokémon and humans altogether, hiding in tall grass to prevent themselves from being seen. If cornered, though, they will attempt to escape by using Sand Attack to blind foes or Whirlwind to blow them away and buy themselves time to fly away. When hunting, however, Pidgey often use these attacks to stir up their surroundings, exposing vulnerable insects for them to chase down. 
These Pokémon have extremely keen senses of direction. They can always find their way back to their nests regardless of how far they have flown. Because of this, Pidgey were commonly used to send messages in the Kanto and Johto regions (much like the Wingull of Hoenn), at least until the advent of e-mail. Many Pidgey have grown accustomed to and now dwell in urban areas due to this practice, flying to forests and fields only to hunt for food before returning to their nests in cities. Some people still train Pidgey to deliver messages as a way of preserving tradition.
",Tiny Bird Pokémon,"normal,flying",1′00″,4
pidgeotto,"Pidgeotto can be dangerous and should be approached with caution. This is due to its large size and aggressive territorial nature. It will attack anything with its sharp claws that wanders into its territory if it perceives the intruder as a threat, which it often does. Pidgeotto is known to be carnivorous as they are shown to prey on several Pokémon such as Exeggcute, Caterpie, and Magikarp. Most urban Pidgey nearing evolution migrate, often in flocks, to the nearby forests where they hunt; they then split up and stake out their own territories.
",Bird Pokémon,"normal,flying",3′07″,66.1
pidgeot,"Pidgeot is even more dangerous than its previous evolutionary stage. This is because it is bulkier and more aggressive than Pidgeotto, enabling it to catch much bigger prey. A favorite target is Magikarp, which Pidgeot can spot from a great distance. Trainers should be very careful when approaching this Pokémon in the wild.
While still territorial, they no longer attack others for simply entering their turfs; rather, they wait and use their keen eyesight to watch from far away, seeing whether their intruders have ill intentions. If they are not endangering the Pokémon or their offspring, they will leave them be. However, they will defeat potential threats without hesitation using their powerful chest muscles to whip up windstorms strong enough to bend tall trees.
When approached, Pidgeot will spread out their wings to intimidate foes. If the tactic fails, they will quickly resort to flapping their wings to create powerful gusts before attacking with their talons. The beautiful, glossy feathers on their heads are symbols of speed in popular culture.
",Bird Pokémon,"normal,flying",4′11″,87.1
rattata,"Rattata is rat-like, with large incisors, a slight hump on its back towards the rear, a slightly pudgy belly, and a whisker on both sides. Female Rattata have shorter whiskers than the males. The fur of a normal variant is purple, with a white or cream colored underside: the fur of an Alolan variant is black with dark cram underside. Rattata have red eyes, with no obvious pupils. The tail is long, and curled slightly at the tip. Rattata have three-toed paws, which are the same color as its underbelly. Rattata that live in the Alola region have black fur instead of the usual purple. Their undersides are now a darker beige color and their fur is much scruffier, leaving their whiskers as tufts that resemble a moustache. The inside of their ears is also a dark blue color.",Mouse Pokémon,normal,1′00″,7.7
raticate,"Raticate remain just as much a nuisance to homeowners, only more aggressive. Luckily, however, they also live in smaller groups, as large groups Rattata generally split into groups of 8 to 10 or so upon evolution.  If a Raticate feels threatened, it will stand on its hind legs and let out a shrill shriek, calling its groupmates to join and defend it. The best way to defend against Raticate in the home is to prevent Rattata from invading in the first place before they evolve. Alternatively, Persian and Purugly can also deal with Raticate.
An Alolan Raticate will exert control over a group of Alolan Rattata that it will send out to search for food. Since these Pokémon are primarily urban, they can find calorie-dense foods much more easily; additionally, since these bosses rarely leave their nests, they do not have to burn much energy on hunting or moving. Alolan Raticate can afford to be very picky about their food because they obtain so much of it, stockpiling the bulk of what their underlings bring in their nests. They have highly developed taste buds that help them discern the freshest items. Ironically, this makes them useful to restaurant chefs, who often employ them in places where their cousins would be seen as pests. Alolan Raticate are fiercely territorial against others of their kind, engaging in 'turf wars' where Alolan Rattata groups fight one another for control. Only when all of its underlings have fallen will an Alolan Raticate emerge to fight on its own. Their webbed feet. a trait they share with their mainland relatives, enable them to swim from island to island with surprising ease.
",Mouse Pokémon,normal,2′04″,40.8
spearow,"Spearow prey on insects, and sometimes Sunkern, in grassy areas by flushing them out with their stubby wings, and plucking at them with their beaks. Spearow are very territorial, constantly buzzing about and calling with a loud cry that can be heard from half a mile away. This cry serves to scare away predators and to keep in touch with other Spearow, though the latter is reserved as an alarm to its kind.
",Tiny Bird Pokémon,"normal,flying",1′00″,4.4
fearow,"Like Spearow, Fearow are very territorial; luckily for travelers, though, they prefer to keep to themselves, only attacking those who draw too near to their nests or young. They use their narrow beaks to dig through soil or reach below the water to catch prey if needed. Because they are known to attack Pokémon often viewed as “cute” and “popular”, such as Pichu, Fearow are often maligned in popular culture as wicked, heartless fighters. However, anyone who has ever raised a Fearow know that while wary and sometimes aggressive to strangers, they can also be very loyal and protective Pokémon; archaeologists have found carvings of them protecting people in Johto.
",Beak Pokémon,"normal,flying",3′11″,83.8
ekans,"Ekans often live in tall grassy areas where they slither with great stealth. Ekans is also known to prey on Pokémon such as Pidgey, Spearow, and their eggs. Though often associated as a land Pokémon, they are capable of swimming long distances. When threatened in the wild, it will rattle its tail, flick its tongue to get its surroundings, and might use the move Glare to scare the opponent and have a possible getaway.
",Snake Pokémon,poison,6′07″,15.2
arbok,"This Pokémon is extremely territorial. Arbok are known to be vengeful and are absolutely ruthless in pursuing anyone or thing that angers them. They are also known to hunt smaller Pokémon like Woopers  and are capable of slithering to higher places such as trees to do so.
",Cobra Pokémon,poison,11′06″,143.3
pikachu,"Pikachu are usually friendly creatures that love to be cuddled. They love having their tails rubbed, especially at the base; they also like being stroked. However, if threatened or angered, this Pokémon can be quite aggressive. If someone pulls or steps on its tail, it is most likely it will bite or shock anyone in the area, including the one who pulled its tail.
However, in the anime and in the wild of the Kanto region they live in big groups deep in forests and are wary of humans.
In Kanto according to Ash in PJ035, Pikachu also greet one another by shocking them and sometimes they'll gather up in big groups to search for Thunderstones so they can evolve.
The Pikachu that live in the Pikachu Valley in Alola in the anime, greet each other by sniffing one another and rubbing their tails together. Also, they can start duels with one another by sending electrical signals and the winner is decided when the opponent's tail is bitten.
",Mouse Pokémon,electric,1′04″,13.2
raichu,"Raichu is more confident, faithful and powerful than Pikachu, which makes them rivals, but sometimes it is just as friendly and cute. However, if it stores too much electricity in its body, it can become extremely short-tempered and aggressive. Yet, some of them are timid and will run away from people.
Usually, Alolan Raichu are often more playful than their normal counterparts. They use their surfboard-like tails to ride waves and to float in mid-air. When their cheeks are rubbed, they emit both electricity and a sweet-smelling aroma. Locals of the Alola region often states that Raichu got this change from eating lots of fluffy pancakes, which are a common delicacy in the Alola region.
",Mouse Pokémon,electric,2′07″,66.1
sandshrew,"Most Sandshrew are timid and they usually run away by digging holes. Despite this nature, they can become braver and more courageous once they're trained by skilled trainers. When their skin becomes wrinkled due to moisture, they head to volcanic areas and dry themselves out through laying on a spot with lots of geothermal heat. They are implied to eat bug types.
",Mouse Pokémon,ground,2′00″,26.5
sandslash,"Sandslash is a resilient creature that lives in desert areas, particularly areas close to dry forests. It is commonly seen either climbing up trees or digging into the dusty ground, both activities which it is suited for thanks to its claws. However, though its claws are strong, they are not indestructible; they occasionally snap when Sandslash digs at an incredibly fast pace. The claws will have started to grow back by the next day, though. The most notable behavior that Sandslash performs to cope with its environment is its method of curling up its body to become in essence a ball covered with large spikes, much like the hedgehog, armadillo, or pangolin. Sandslash rolls up so that the spikes shade its inner body from the sun and therefore prevent heatstroke that can result from the scorching heat that accompanies daytime in the desert.
Sandslash is a fully-armed predator when dealing with other Pokémon in the desert areas that form its natural environment. When attacked, Sandslash rolls up into its spherical guise and its spikes arrange to form its defense, after which the Pokémon will either roll away to escape or roll towards the opponent to attack. When trying to flee in this manner, Sandslash exerts specific force on the ground to kick up small-but-blinding dust clouds in its wake, hoping to discourage other Pokémon from following it. When attacking in this manner, though, Sandslash proves itself adept at making the opponent flinch with the spikes of its rolling body just before uncoiling itself and hacking with its claws. It prefers attacking from higher elevations when targeting prey.
",Mouse Pokémon,ground,3′03″,65
nidoran-f,"These small Pokémon are extremely timid and docile.Nidoran♀ are easily spooked, and it is not at all difficult to accidentally be scratched by a fleeing individual. If cornered, however, Nidoran♀ will defend themselves with their horns.It is rare to find a lone Nidoran♀, as they are very social Pokémon that are almost never seen without elder Nidorina and Nidoqueen, or at the very least sibling Nidoran♂, accompanying them. In fact, the vast majority of documented cases of Nidoran♀ poisonings have been attributed to skittish and scared wild individuals attacking out of sheer terror after having been separated from their families. Females have more sensitive nostrils and whiskers than males; they are quicker to detect predators because of this and will stay downwind when they sense one.",Poison Pin Pokémon,poison,1′04″,15.4
nidorina,"Like Nidoran♀, Nidorina tend to avoid confrontation but are fiercely defensive of their young.Like the rest of their relatives, they lives in burrows in open plains with their large family groups. These Pokémon are very affectionate with those in their tightly bonded family groups, and can easily become nervous or even upset when separated from them. When threatened, they will band together and screech loudly to bewilder predators with ultrasonic waves. To feed their young, they first chew food before spitting it out for their children to eat.
",Poison Pin Pokémon,poison,2′07″,44.1
nidoqueen,"They lead Nidoran families alongside Nidoking. These Pokémon are famously motherly, willing to defend their young with their lives. These Pokémon will block the entrances to their burrows using their bodies, with their venomous spines facing outwards, in order to defend their young. Nidoqueen are also known to set off earth-shaking tremors to scare potential attackers from their burrows. Younger Nidoran♀ and Nidorina look up to Nidoqueen—it is not uncommon for wandering Nidorina to end up lost in the mountains while searching for Moon Stones to evolve like their mothers. Nidoqueen placate crying offspring by placing them between the spines on their backs; these spines never secrete venom while the young are nearby.
",Drill Pokémon,"poison,ground",4′03″,132.3
nidoran-m,"Like females, males are shy and try to avoid fights, only using their venom to defend themselves as necessary when confronted. However, they will risk their lives to defend females that they are enamored with. Nidoran♂ are herbivores and consume plants as their main source of food, and can even devour toxic ones without any ill effects; some scientists even believe that Nidoran♂ gather their poison from such plants.",Poison Pin Pokémon,poison,1′08″,19.8
nidorino,"Nidorino are extremely aggressive Pokémon that are quick to Anger like Mankey. One he detects an enemy, all his spikes will bristle up at once and will go all out to challenge the foe(which may explain its other abilities).These Pokémon generally spend the day scouting and searching for food, returning to their burrows only at night to rest. They bring back resources to share with the rest of their families. However, even the slightest noise will awaken sleeping Nidorino, thanks to their highly sensitive ears. They will not hesitate to locate the source of a foreign sound and attack it with their horns, especially if the threat appears to be endangering their young.
",Poison Pin Pokémon,poison,2′11″,43
nidoking,"Nidoking attacks his foes by sweeping his large and bulky tail, his horn also contains venom. In Nidoran families, Nidoking assume the roles of protectors and hunters, patrolling in search of food to bring back to their burrows for their mates and offspring. An enraged Nidoking is particularly dangerous, as it will go on a rampage that can only be stopped either by defeating the Pokémon—a difficult task that only a few Pokémon can accomplish—or by being calmed down by its partner Nidoqueen. Threatening their families is one of the most common triggers for such attacks. Luckily, their rarity in the wild in combination with their tendency to stay away from human settlements makes berserk Nidoking a very rare, albeit still very dangerous, problem in most metropolitan areas.
",Drill Pokémon,"poison,ground",4′07″,136.7
clefairy,"Clefairy is very timid and rarely appears in front of humans. But it is very clever, and there are awareness among social and religious groups. Clefairy is a nocturnal Pokémon and will come out during the full moon to dance.
",Fairy Pokémon,fairy,2′00″,16.5
clefable,"Clefable is shyer than Clefairy. Due to its highly sensitive hearing, it will avoid noisy areas. On moonlit nights, they can rarely be seen walking towards secluded, deserted lakes; they are said to gaze at the moon in longing to return home, straining their ears to hear the voices of their brethren on its surface. It is said seeing a pair of them is a sign of a happy marriage.
",Fairy Pokémon,fairy,4′03″,88.2
vulpix,"Vulpix are very intelligent. When they face a stronger enemy, they'll distract the enemy by feigning injury&#160;and then escape. Vulpix is capable of manipulating fire to such precision as to create floating wisps of flame. These wisps are sometimes mistaken for ghosts by humans, but Vulpix uses them to assist in catching prey. When the temperature outside increases, it will expel flames from its mouth to prevent its body from overheating.
",Fox Pokémon,fire,2′00″,21.8
ninetales,"Ninetales have high intelligence and strong obsession. They can live for a thousand years when they use the power of their tails. They never let go of their vendetta against ones they have a grudge on, including the person's descendants. 
",Fox Pokémon,fire,3′07″,43.9
jigglypuff,"Jigglypuff has very stretchy skin and will inflate itself if it gets angry. In the anime, it has been shown to draw on people's faces after they have fallen asleep. However, most Jigglypuff are not accustomed to Pokémon with abilities like Insomnia, which prevent drowsiness. They will sing endlessly to try to put such Pokémon to sleep, putting themselves in danger of asphyxiation. Luckily, this behavior is generally a one-time mistake, and a Jigglypuff will quickly learn its lesson. Recently, it was discovered that different populations of Jigglypuff utilize different methods of singing, ranging from lilting melodies to near-shouts.
",Balloon Pokémon,"normal,fairy",1′08″,12.1
wigglytuff,"Wigglytuff are very gentle creatures that detest fighting. Even when they clash with one another, they only compete by inhaling air to see whose size increases the most. It sheds its fine fur when the season changes. The fur is gathered and spun into a luxurious yarn. Sleeping next to a one is said to be an amazing experience, and a few quirky luxury hotels tote Wigglytuff “sleeping buddies” for extra charge—a practice that benefits both person and Pokémon, as Wigglytuff love the company of people.They grow steadily to enormous sizes to scare off foes; the largest purportedly could grow to 20 times its resting size, though this specimen was never proven to exist. Once inflated, Wigglytuff can float and bounce around lightly like balloons. They compete with one another to see who can become the largest. Their large eyes are always covered with a thin layer of tears that wash away any particles that fall onto their delicate surfaces. 
",Balloon Pokémon,"normal,fairy",3′03″,26.5
zubat,"Zubat has the ability Inner Focus and the hidden ability Infiltrator. Inner Focus prevents Zubat from flinching. Infiltrator prevents the effects of Reflect, Magic Coat, and Light Screen from working.",Bat Pokémon,"poison,flying",2′07″,16.5
golbat,"Like Zubat, Golbat are found in caves and dark areas worldwide. Unlike Zubat, however, Golbat are hematophagous, consuming the blood of Pokémon and humans alike. They use their sharp fangs to puncture the skins of victims. Their saliva contains a substance that poisons and immobilizes prey, allowing them to drink blood at their leisure. Golbat can drink up to 10 ounces of blood in one sitting, possibly fatal for smaller victims. After doing so, however, their flight often becomes clumsy and erratic due to their heavy weights after large meals; they may become so heavy that they fall to the ground (and become easy prey themselves). Luckily, this feasting keeps them satisfied for a while; they only search for food during moonless nights when darkness conceals them. Recently, it has been discovered that Golbat broods will share blood with one another during times of scarcity; however, selfish Golbat that do not share blood when asked will find that other brood members will refuse to share with them in the future. Their fangs are hollow and consequently fragile. Notably, Golbat avoid light, metal (perhaps due to their poison being ineffective against Steel-types), and oddly enough, Durin Berries. While no one is quite sure why, Golbat tend to steer clear of them despite experiencing no ill effects upon consuming them. Surprisingly, Golbat are quite adroit on their oddly-shaped feet, which are adapted to create silent footsteps as they sneak up behind sleeping prey.
",Bat Pokémon,"poison,flying",5′03″,121.3
oddish,"Oddish is a nocturnal Pokémon, using moonlight rather than the sun's rays for photosynthesis. During the day, Oddish avoids the sun's heat and brightness by burying itself into the earth, leaving only the leaves on top of its head visible above ground. This way, it disguises itself as a plant, misdirecting its carnivorous diurnal predators.
While buried, Oddish nourishes itself by absorbing nutrients from the soil using its feet, which are said to temporarily change into a root-like structure for this purpose.
If anyone pulls at Oddish's leaves and tries to uproot it while it is buried underground, Oddish will react by shrieking in a horrible voice.
Once nightfall comes, exposure to moonlight causes Oddish to become much more active. It extracts itself from the ground, and its extremities change back into the shape of legs. It then proceeds to bathe itself in the moonlight and grow, as well as wander around scattering its seeds. With the coming of dawn, the cycle repeats.
",Weed Pokémon,"grass,poison",1′08″,11.9
gloom,"The drool of Gloom is very powerful; it can be smelt from miles away. Around 1 in 1000 people like to smell its drool, however.",Weed Pokémon,"grass,poison",2′07″,19
vileplume,"The smell of the flowers attracts prey; when they draw close, Vileplume flap their petals, cloaking themselves and their targets in toxic pollen that quickly immobilizes victims. Even as they walk, Vileplume scatter pollen out of their blooms, turning the surrounding air a sickly yellow. This pollen can cause poisoning and paralysis in large amounts, but can also trigger massive allergy attacks in even trace amounts. Like Oddish and Gloom, Vileplume may hide partially buried in the soil, only exposing their flowers for unwary prey to investigate. Because of this, it is inadvisable to approach large flowers in swamps or jungles, as they may actually be Vileplume in disguise waiting for an opportunity to scatter pollen.
",Flower Pokémon,"grass,poison",3′11″,41
paras,"Paras are covered in fungal spores upon birth, specifically that of a variety known as tochukaso. As a Paras grows, so do the mushrooms on its back, which are not present at birth and do not emerge until later in development. Paras feed by burrowing and sucking nutrients out of tree roots; in turn, the mushrooms drain nutrients out of their host Paras's bodies. Paras must feed ravenously as a result. Recent discoveries have shown that the mushrooms also control part of their hosts’ brains, and in fact are the ones that signal for Paras to burrow for roots. Paras can be found in damp, dark areas where fungi thrive; sunlight and dryness can damage their bodies.
",Mushroom Pokémon,"bug,grass",1′00″,11.9
parasect,"It has been shown in Pokédex entries that Parasect gather in groups to feed off of the nutrients from trees (mostly the bark and roots). their fungi entirely overtake their bodies and minds. Parasect dwell in damp places due to their fungi's own preferences for moisture (they often compete with Shiinotic for land). They are highly aggressive.Throughout their lives, the mushrooms continues to drain their hosts until there is nothing left. At that point, they scatter spores over their hosts’ eggs to restart the cycle. If a Parasect's mushroom is entirely removed, the Pokémon enters a comatose state indefinitely.
",Mushroom Pokémon,"bug,grass",3′03″,65
venonat,Venonat can have the ability Compoundeyes or the ability Tinted Lens. Compoundeyes increases Venonat's accuracy by 30%. Tinted Lens increases the power of not-very-effective moves by 1.5x. Venonat's eyes are very accurate: they enable Venonat to easily catch extremely small prey. Conway has a Venonat in the episode Camping It Up.,Insect Pokémon,"bug,poison",3′03″,66.1
venomoth,Venomoth can have the ability Shield Dust or the ability Tinted Lens. Shield Dust negates all side effects of attacks. Tinted Lens increases non-effective moves by 1.5x. Venomoth's wings are covered with scales. The scales are poisonous and are released when Venomoth flaps its wings.,Poison Moth Pokémon,"bug,poison",4′11″,27.6
diglett,"Diglett live only a few feet underground, and feed on plant roots. They burrow through the ground at a shallow depth, leaving raised earth in their wake, perfect for planting crops. Diglett are frequently kept on farms for this reason. Diglett have very thin skin, and thus if a Diglett is exposed to light its blood will heat up, causing it to grow weak. This weakness to heat causes Diglett to prefer dark places, sticking their heads up only when the sun is not bright. Otherwise, they pop up in caves. Diglett make their homes in tunnels and caves under the earth, most of which are made by burrowing Onix.
Alolan Diglett always feel the need to dig through volcanic rocks, making them much stronger than their other regional counterparts. Their head whiskers change shape depending on their mood. 
",Mole Pokémon,ground,0′08″,1.8
dugtrio,"Like Diglett, Dugtrio loathe sunlight. As triplets emerging from the same body, they also share the same thought process as each other. Nonetheless, Dugtrio are more aggressive than Diglett, and they'll try all kinds of methods to attack its enemy or opponents who are digging holes underground from all directions. Druddigon is a known predator of it.
Regardless, Dugtrio are very friendly with humans; Kantonian Dugtrio help people with agriculture, while Alolan Dugtrio are worshipped as feminine deities of the land incarnate regardless of gender. It is rumored that any hair picked up from Alolan Dugtrio will give bad luck. Thus, Alolans who see Kantoian Dugtrio will often be shocked by their lack of ""hair"".
Dugtrio live underground in caves. However, in Pikachu's Rescue Adventure, they live in hollow trees as well.
",Mole Pokémon,ground,2′04″,73.4
meowth,"Meowth usually preys on other weaker Pokémon, showing that it is carnivorous. However, it sometimes takes in fruits, so it is more accurate to call it an omnivore.
",Scratch Cat Pokémon,normal,1′04″,9.3
persian,"This Pokémon, while very beautiful and elegant is not the best pet, especially for new trainers. The reason for this is that Persian are known to have unpredictable temperaments and are apt to turn vicious in the blink of an eye, one moment it might be contentedly purring and rubbing its head against its trainer's hand while it is being petted, the next it could unsheathe its claws and scratch the hand that was petting it. Its tail raising straight is a sign of it being ready to pounce and attack.
The Alolan form of this Pokémon is even more difficult to look after, since it was spoiled by the royal families in ancient Alola and thus has made them much more disobedient towards Trainers. Despite this, it could be a strong battler in battles but not without applying underhanded tactics such as blindsiding and sucker punching, and will hostilely torment its fallen foes, though it sometimes gets defeated by opponents' counterattacks because of underestimation.
",Classy Cat Pokémon,normal,3′03″,70.5
psyduck,"Psyduck always hold their heads due to the fact that they have a near-constant headache. This makes them seem like they are unintelligent, when in fact they are quite clever and wily.
",Duck Pokémon,water,2′07″,43.2
