name,description,category,type,height,weight,url,documents
rapidash,"Rapidash is rather competitive and tends to have a rash nature. The fastest Rapidash will be chosen as its herds leader, which determines the direction the herd is heading and the speed its herd runs. Galarian Rapidash is intrepid and resolute, taking pride in its abilities on being able to dash across the forests with the psychic powers stored in the hair around its hooves.",Fire Horse Pokémon,fire,5′07″,209.4,https://pokeapi.co/api/v2/pokemon-species/78/,"Rapidash is rather competitive and tends to have a rash nature. The fastest Rapidash will be chosen as its herds leader, which determines the direction the herd is heading and the speed its herd runs. Galarian Rapidash is intrepid and resolute, taking pride in its abilities on being able to dash across the forests with the psychic powers stored in the hair around its hooves.'it can gallop at a top speed of 150 miles per hour. it can race as fast as a bullet train while ablaze.', 'it gallops at nearly 150 mph. with its mane blazing ferociously, it races as if it were an arrow.', 'just loves to run. if it sees some\xad thing faster than itself, it will give chase at top speed.', 'it has astounding acceleration. from a standstill, it can reach top speed within 10 steps.', 'rapidash usually can be seen casually cantering in the fields and plains. however, when this pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.', 'with incredible acceleration, it reaches its top speed of 150 mph after running just 10 steps.', 'rapidash usually can be seen casually cantering in the fields and plains. however, when this pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.', 'rapidash usually can be seen casually cantering in the fields and plains. however, when this pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.', 'very competitive, this pokémon will chase anything that moves fast in the hopes of racing it.', 'with incredible acceleration, it reaches its top speed of 150 mph after running just ten steps.', 'it usually canters casually in the fields and plains. but once a rapidash turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.', 'just loves to run. if it sees something faster than itself, it will give chase at top speed.', 'very competitive, this pokémon will chase anything that moves fast in the hopes of racing it.', 'fiery mane aglow, rapidash darts like an arrow across the land. this prodigiously swift creature can traverse the vast region of hisui in a day and a half.', 'it just loves to gallop. the faster it goes, the long\xad er the swaying flames of its mane will become.', 'very competitive, this pokémon will chase anything that moves fast in the hopes of racing it.', 'at full gallop, its four hooves barely touch the ground because it moves so incredi\xad bly fast.', 'when at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance.', 'the fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.', 'this pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.', 'it gallops at nearly 150 mph. with its mane blazing ferociously, it races as if it were an arrow.', 'at full gallop, its four hooves barely touch the ground because it moves so incredibly fast.'"
slowpoke,"Slowpoke is described as dopey and rarely moves. It doesnt notice when the tail is bitten, cut off and even grown back. It can take them over 5 seconds to react to pain. To catch food, Slowpoke dangle their tails lazily from the shore into the sea. They secrete a sweet substance that attracts fish. However, due to their daftness, they sometimes forget why they were even near the water in the first place. It can take them up to a day to process bites on their tails.Galarian Slowpoke used to eat the seeds of a certain plant that grew in their habitat. These seeds were in fact Galarica seeds, used to this day as an essential spice for cooking in the Galar region. The Slowpoke in Galar built up particles of this spice in their bodies over several generations, eventually gaining the unique appearance and behavior they are known for today. Galarian Slowpoke spend their days wallowing on seashores and riverbanks without thinking about anything in particular. Occasionally, they might get a very sharp look in their eyes, but they will soon revert to their zoned-out expression. It is thought that this behavior is caused by the accumulated Galarica particles stimulating Galarian Slowpokes brain, resulting in it thinking of something tremendous—only for the Galarian Slowpoke to immediately forget what it had just thought of.It is said that Galarian Slowpoke love Galarica Cuffs and Galarica Wreaths.",Dopey Pokémon,"water,psychic",3′11″,79.4,https://pokeapi.co/api/v2/pokemon-species/79/,"Slowpoke is described as dopey and rarely moves. It doesnt notice when the tail is bitten, cut off and even grown back. It can take them over 5 seconds to react to pain. To catch food, Slowpoke dangle their tails lazily from the shore into the sea. They secrete a sweet substance that attracts fish. However, due to their daftness, they sometimes forget why they were even near the water in the first place. It can take them up to a day to process bites on their tails.Galarian Slowpoke used to eat the seeds of a certain plant that grew in their habitat. These seeds were in fact Galarica seeds, used to this day as an essential spice for cooking in the Galar region. The Slowpoke in Galar built up particles of this spice in their bodies over several generations, eventually gaining the unique appearance and behavior they are known for today. Galarian Slowpoke spend their days wallowing on seashores and riverbanks without thinking about anything in particular. Occasionally, they might get a very sharp look in their eyes, but they will soon revert to their zoned-out expression. It is thought that this behavior is caused by the accumulated Galarica particles stimulating Galarian Slowpokes brain, resulting in it thinking of something tremendous—only for the Galarian Slowpoke to immediately forget what it had just thought of.It is said that Galarian Slowpoke love Galarica Cuffs and Galarica Wreaths.'slowpoke uses its tail to catch prey by dipping it in water at the side of a river. however, this pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.', 'slowpoke uses its tail to catch prey by dipping it in water at the side of a river. however, this pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.', 'slow-witted and oblivious, this pokémon won’t feel any pain if its tail gets eaten. it won’t notice when its tail grows back, either.', 'it catches prey by dipping its tail in water at the side of a river. but it often forgets what it is doing and spends entire days just loafing at water’s edge.', 'it is always vacantly lost in thought, but no one knows what it is thinking about. it is good at fishing with its tail.', 'incredibly slow and sluggish. it is quite content to loll about without worrying about the time.', 'when this pokémon’s tail is soaked in water, sweetness seeps from it. slowpoke uses this trait to lure in and fish up other pokémon.', 'incredibly slow and dopey. it takes 5 seconds for it to feel pain when under attack.', 'it lazes vacantly near water. if something bites its tail, it won’t even notice for a whole day.', ""a sweet sap leaks from its tail's tip. although not nutritious, the tail is pleasant to chew on."", 'incredibly slow and sluggish. it is quite content to loll about without worrying about the time.', 'alolan home cooking involves drying slowpoke tails and then simmering them into a salty stew.', ""it lazes vacantly near water. if something bites its tail, it won't even notice for a whole day."", ""it is always so absent-minded that it won't react, even if its flavorful tail is bitten."", 'incredibly slow and dopey. it takes five seconds for it to feel pain when under attack.', 'slowpoke uses its tail to catch prey by dipping it in water at the side of a river. however, this pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.', 'its long tail often breaks off. it doesn’t really feel any pain, though, and the tail grows back, so slowpoke isn’t particularly bothered.', 'although slow, it is skilled at fishing with its tail. it does not feel pain if its tail is bitten.', 'there are some places where slowpoke is worshiped because of a long-standing belief that whenever slowpoke yawns, it rains.', 'it is always vacantly lost in thought, but no one knows what it is thinking about. it is good at fishing with its tail.', 'although their tails, which fall off naturally, can easily be found lying around, they’re a precious ingredient for cooking.', 'a sweet sap leaks from its tail’s tip. although not nutritious, the tail is pleasant to chew on.', 'it lazes vacantly near water. if something bites its tail, it won’t even notice for a whole day.'"
slowbro,"Kantonian Slowbro is typically rather lazy and unintelligent, but when the Shellder bites down on its tail (causing more venom to head to the brain), it becomes inspired for some reason. It is very peaceful and avoids confrontation most of the time. Slowbro are no longer able to fish with their tails and must, to their disdain, swim to catch food. ",Hermit Crab Pokémon,"water,psychic",5′03″,173.1,https://pokeapi.co/api/v2/pokemon-species/80/,"Kantonian Slowbro is typically rather lazy and unintelligent, but when the Shellder bites down on its tail (causing more venom to head to the brain), it becomes inspired for some reason. It is very peaceful and avoids confrontation most of the time. Slowbro are no longer able to fish with their tails and must, to their disdain, swim to catch food. 'whenever shellder bites down hard on its tail, it gives slowbro a flash of inspiration...which it forgets a moment later.', 'its tail has a shellder firmly attached with a bite. as a result, the tail can’t be used for fishing anymore. this forces it to reluctantly swim and catch prey.', 'slowbro’s tail has a shellder firmly attached with a bite. as a result, the tail can’t be used for fishing anymore. this causes slowbro to grudgingly swim and catch prey instead.', 'spacing out is basically all it does. it turns back into slowpoke if its tail, along with shellder, breaks off.', 'lives lazily by the sea. if the shellder on its tail comes off, it becomes a slowpoke again.', ""the shellder that is latched onto slowpoke's tail is said to feed on the host's left over scraps."", 'an attached shellder won’t let go because of the tasty flavor that oozes out of its tail.', 'shellder, in its greed to suck out more and more sweetness from slowbro’s tail, has metamorphosed into a spiral-shaped shell.', 'though usually dim witted, it seems to become inspired if the shellder on its tail bites down.', ""an attached shellder won't let go because of the tasty flavor that oozes out of its tail."", 'the shellder that latches onto slowpoke’s tail is said to feed on the host’s leftover scraps.', 'when a slowpoke went hunting in the sea, its tail was bitten by a shellder. that made it evolve into slowbro.', 'lives lazily by the sea. if the shellder on its tail comes off, it becomes a slowpoke again.', 'when a slowpoke went hunting in the sea, its tail was bitten by a shellder. that made it evolve into slowbro.', 'though usually dim witted, it seems to become inspired if the shellder on its tail bites down.', ""naturally dull to begin with, it lost its ability to feel pain due to shellder's seeping poison."", 'if the tail-biting shellder is thrown off in a harsh battle, it reverts to being an ordi\xad nary slowpoke.', 'slowbro’s tail has a shellder firmly attached with a bite. as a result, the tail can’t be used for fishing anymore. this causes slowbro to grudgingly swim and catch prey instead.', 'slowpoke became slowbro when a shellder bit on to its tail. sweet flavors seeping from the tail make the shellder feel as if its life is a dream.', 'slowbro’s tail has a shellder firmly attached with a bite. as a result, the tail can’t be used for fishing anymore. this causes slowbro to grudgingly swim and catch prey instead.', 'naturally dull to begin with, it lost its ability to feel pain due to shellder’s seeping poison.', 'if the tail-biting shellder is thrown off in a harsh battle, it reverts to being an ordinary slowpoke.', 'being bitten by a shellder shocked this pokémon into standing on two legs. if the shellder lets go, it seems slowbro will turn back into a slowpoke.', 'it spaces out while gazing at the sea. with shellder’s poison flowing through its body, it becomes even spacier.'"
magnemite,"Magnemite emit electromagnetic energy from its horseshoe magnets in order to keep afloat. It consumes electricity by attaching itself to power lines. During power outages, people would often find large groups of Magnemites congregating inside of circuit breakers. If a Magnemite runs low on its electrical energy supply, it would be rendered incapable of flight (but can be recharged by batteries). It is normally pacifistic and would mostly only retaliate with non-damaging moves. Under the guidance of a Pokémon Trainer, they can become devoted fighters (though the bond needs to be strong enough first). Magnemite dislikes some sort of signal that Power Stations use to repel them, and are sensitive to geomagnetic storms accodring to PJ093 that can induce them to gather together akin to Wishiwashis Schooling ability.",Magnet Pokémon,"electric,steel",1′00″,13.2,https://pokeapi.co/api/v2/pokemon-species/81/,"Magnemite emit electromagnetic energy from its horseshoe magnets in order to keep afloat. It consumes electricity by attaching itself to power lines. During power outages, people would often find large groups of Magnemites congregating inside of circuit breakers. If a Magnemite runs low on its electrical energy supply, it would be rendered incapable of flight (but can be recharged by batteries). It is normally pacifistic and would mostly only retaliate with non-damaging moves. Under the guidance of a Pokémon Trainer, they can become devoted fighters (though the bond needs to be strong enough first). Magnemite dislikes some sort of signal that Power Stations use to repel them, and are sensitive to geomagnetic storms accodring to PJ093 that can induce them to gather together akin to Wishiwashis Schooling ability.'it subsists on electricity. as magnemite flies, it emits electromagnetic waves from the units on each side of its body.', 'uses antigravity to stay suspended. appears without warning and uses thunder wave and similar moves.', 'magnemite attaches itself to power lines to feed on electricity. if your house has a power outage, check your circuit breakers. you may find a large number of this pokémon clinging to the breaker box.', 'it is attracted by electromagnetic waves. it may approach trainers if they are using their pokégear.', 'the electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float.', 'it sends out electromagnetic waves, which let it float through the air. touching it while it’s eating electricity will give you a full-body shock.', 'the units at its sides generate electromagnetic waves that keep it airborne. it feeds on electricity.', 'the units at the sides of its body generate anti\xad gravity energy to keep it aloft in the air.', 'the units at the sides of its body generate antigravity energy to keep it aloft in the air.', 'perhaps because electrical lines are often buried these days, the number of magnemite attacks on power plants has increased.', 'it is attracted by electromagnetic waves. it may approach trainers if they are using their pokégear.', 'magnemite attaches itself to power lines to feed on electricity. if your house has a power outage, check your circuit breakers. you may find a large number of this pokémon clinging to the breaker box.', 'the units at the sides of its body generate antigravity energy to keep it aloft in the air.', 'the faster the units at its sides rotate, the greater the magnetic force they generate.', 'it moves while constantly hovering. it discharges thunder wave and so on from the units at its sides.', 'magnemite floats in the air by emitting electromagnetic waves from the units at its sides. these waves block gravity. this pokémon becomes incapable of flight if its internal electrical supply is depleted.', 'a bizarre pokémon with but a single eye embedded in an iron sphere. i suspect this creature levitates due to the magnetism it emits from its arms, which resemble horseshoe-shaped magnets.', 'the electricity emitted by the units on each side of its body cause it to become a strong magnet.', 'at times, magnemite runs out of electricity and ends up on the ground. if you give batteries to a grounded magnemite, it’ll start moving again.', 'it’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.', 'the units at its sides are extremely powerful magnets. they generate enough magnetism to draw in iron objects from over 300 feet away.', 'it is hatched with the ability to defy gravity. it floats while emitting powerful electromagnetic waves.', 'they gather in places where electricity is available. they can be found clinging to the steel towers used to support power lines.', 'uses anti-gravity to stay suspended. appears without warning and uses thunder wave and similar moves.', 'it moves while constantly hovering. it discharges thunder wave and so on from the units at its sides.', 'magnemite floats in the air by emitting electromagnetic waves from the units at its sides. these waves block gravity. this pokémon becomes incapable of flight if its internal electrical supply is depleted.', 'it is born with the ability to defy gravity. it floats in air on powerful electro\xad magnetic waves.'"
magneton,"Magneton emits a powerful magnetic force that holds it together. Similar to its pre-evolved form, Magnemite, Magneton is able use electromagnetism to levitate and move around. The electromagnetic energy that Magneton emits is so strong that any nearby electronic devices would be fatally damaged; in fact, the strength of Magnetons electromagnetic powers are three times more stronger than Magnemites. Another dangerous side effect of Magnetons strong electromagnetic force is creating black outs in many cities; because of this, many cities forbid any Trainer from letting Magneton out of its Poké Ball.At high voltage, Magneton can release stronger waves of electromagnetic energy and radio waves that can increase temperatures up to 3.6 degrees Fahrenheit with a nearby 3,300-ft. radius. It is also able to cause earaches to anyone that gets too close to it. Magneton usually appear frequently whenever sunspots flare up.    ",Magnet Pokémon,"electric,steel",3′03″,132.3,https://pokeapi.co/api/v2/pokemon-species/82/,"Magneton emits a powerful magnetic force that holds it together. Similar to its pre-evolved form, Magnemite, Magneton is able use electromagnetism to levitate and move around. The electromagnetic energy that Magneton emits is so strong that any nearby electronic devices would be fatally damaged; in fact, the strength of Magnetons electromagnetic powers are three times more stronger than Magnemites. Another dangerous side effect of Magnetons strong electromagnetic force is creating black outs in many cities; because of this, many cities forbid any Trainer from letting Magneton out of its Poké Ball.At high voltage, Magneton can release stronger waves of electromagnetic energy and radio waves that can increase temperatures up to 3.6 degrees Fahrenheit with a nearby 3,300-ft. radius. It is also able to cause earaches to anyone that gets too close to it. Magneton usually appear frequently whenever sunspots flare up.    'generates strange radio signals. it raises the temperature by 3.6 degrees fahrenheit within 3,300 feet.', 'it is actually three magnemite linked by magnetism. it generates powerful radio waves that raise temperatures by 3.6 degrees f within a 3,300-foot radius.', 'generates strange radio signals. it raises the temperature by 3.6 degrees fahrenheit within 3,300 feet.', 'it has about three times the electrical power of magnemite. for some reason, outbreaks of this pokémon happen when lots of sunspots appear.', 'when many magneton gather together, the resulting magnetic storm disrupts radio waves.', 'three magnemite are linked by a strong magnetic force. earaches will occur if you get too close.', 'generates strange radio signals. it raises the tem\xad perature by 3.6f degrees within 3,300 feet.', 'magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. because of this, it is said that some towns warn people to keep this pokémon inside a poké ball.', 'magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. because of this, it is said that some towns warn people to keep this pokémon inside a poké ball.', 'the stronger electromagnetic waves from the three linked magnemite are enough to dry out surrounding moisture.', 'many mysteriously appear when more sunspots dot the sun. they stop tv sets from displaying properly.', 'formed by several magnemites linked together. they frequently appear when sunspots flare up.', 'the magnemite are united by a mag\xad netism so power\xad ful, it dries all moisture in its vicinities.', 'it is actually three magnemite linked by magnetism. a group can set off a magnetic storm.', 'three magnemite are linked by a strong magnetic force. earaches will occur if you get too close.', 'the magnemite are united by a magnetism so powerful, it dries all moisture in its vicinity.', 'a linked cluster formed of several magnemite. it discharges powerful magnetic waves at high voltage.', 'when rain clouds form, many magneton gather in high places to wait for lightning to strike.', 'three magnemite gathered to evolve into this pokémon. the source of much vexation on my part, as its powerful magnetism destroys my research equipment.', 'magneton emits a powerful magnetic force that is fatal to mechanical devices. as a result, large cities sound sirens to warn citizens of large-scale outbreaks of this pokémon.', 'delicate equipment can malfunction in areas inhabited by magneton, which send out mysterious electrical signals.', 'this pokémon is three magnemite that have linked together. magneton sends out powerful radio waves to study its surroundings.', 'formed by several magnemite linked together. they frequently appear when sunspots flare up.', 'magneton emits a powerful magnetic force that is fatal to mechanical devices. as a result, large cities sound sirens to warn citizens of large-scale outbreaks of this pokémon.', 'this pokémon is constantly putting out a powerful magnetic force. most computers go haywire when a magneton approaches.', 'when three magnemite link together, their brains also become one. they do not become three times more intelligent.', 'a linked cluster formed of several magnemite. it discharges powerful magnetic waves at high voltage.'"
farfetch'd,"They cant live without the leeks they hold and thats why they defend their leeks from attackers with their lives. They wont eat their leeks even in intense hunger, as seen by Gohs Farfetchd. They protect the fields in which these plants grow with their dedication, and will often fight with each other for choice stalks. Their wings have adapted to be more finger-like to enable them to grasp leeks, though some prefer hold them in their beaks instead.Farfetch’d may actually eat their own leeks though. They will begin search endlessly for new ones immediately afterwards, however. ",Wild Duck Pokémon,"normal,flying",2′07″,33.1,,"They cant live without the leeks they hold and thats why they defend their leeks from attackers with their lives. They wont eat their leeks even in intense hunger, as seen by Gohs Farfetchd. They protect the fields in which these plants grow with their dedication, and will often fight with each other for choice stalks. Their wings have adapted to be more finger-like to enable them to grasp leeks, though some prefer hold them in their beaks instead.Farfetch’d may actually eat their own leeks though. They will begin search endlessly for new ones immediately afterwards, however. "
doduo,"Doduo alternately bob their heads to keep balance while running. Their two heads have identical brains (though a few with differing ones have been discovered on occasion) and can communicate ​with each other through telepathy in order to accomplish common goals. The two heads take turns sleeping; while one dozes off, the other keeps watch for any potential dangers approaching. This team effort makes it difficult to catch Doduo off-guard. To defend themselves, Doduo can attack with moves such as Double Hit and Drill Peck. They are able to use both heads at once for some moves, effectively being able to target two enemies at the same time if necessary.",Twin Bird Pokémon,"normal,flying",4′07″,86.4,https://pokeapi.co/api/v2/pokemon-species/84/,"Doduo alternately bob their heads to keep balance while running. Their two heads have identical brains (though a few with differing ones have been discovered on occasion) and can communicate ​with each other through telepathy in order to accomplish common goals. The two heads take turns sleeping; while one dozes off, the other keeps watch for any potential dangers approaching. This team effort makes it difficult to catch Doduo off-guard. To defend themselves, Doduo can attack with moves such as Double Hit and Drill Peck. They are able to use both heads at once for some moves, effectively being able to target two enemies at the same time if necessary.'a bird that makes up for its poor flying with its fast foot speed. leaves giant footprints.', 'by alternately raising and lowering its two heads, it balances itself to be more stable while running.', 'the brains in its two heads appear to communicate emotions to each other with a telepathic power.', 'its short wings make flying difficult. instead, this pokémon runs at high speed on developed legs.', 'it races through grassy plains with powerful strides, leaving footprints up to four inches deep.', 'it lives on a grassy plain where it can see a long way. if it sees an enemy, it runs away at 60 mph.', 'doduo’s two heads never sleep at the same time. its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.', 'the brains in its two heads appear to communicate emotions to each other with a telepathic power.', 'doduo’s two heads contain completely identical brains. a scientific study reported that on rare occasions, there will be examples of this pokémon possessing different sets of brains.', 'a two-headed pokémon that was discovered as a sudden mutation. it runs at a pace of over 60 miles per hour.', 'by alternately raising and lower\xad ing its two heads, it balances itself to be more stable while running.', 'a two-headed pokémon that was discovered as a sudden mutation. it runs at a pace of over 60 miles per hour.', 'doduo’s two heads contain completely identical brains. a scientific study reported that on rare occasions, there will be examples of this pokémon possessing different sets of brains.', 'it races through grassy plains with powerful strides, leaving footprints up to four inches deep.', 'even while eating or sleeping, one of the heads remains always vigilant for any sign of danger. when threatened, it flees at over 60 miles per hour.', 'its short wings make flying dif\xad ficult. instead, this pokémon runs at high speed on developed legs.', 'a bird that makes up for its poor flying with its fast foot speed. leaves giant footprints.', 'doduo’s two heads never sleep at the same time. its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.'"
dodrio,"Each head controls a different basic emotion; one expresses joy, one sadness, and one anger. They can also use their three heads to conceive complex plans to search for food or defend themselves. However, they may occasionally over-exhaust themselves with this, and will remain motionless for extended periods of time while recovering. Their heads do argue sometimes, since the emotions they control tend to disagree. However, like many internal conflicts, these inner spats are usually solved with food. Since they share the same stomach, when one of the heads eats, the other two will be satisfied as well. Those who live near Dodrio may be woken up early in the morning by their raucous calls—they squawk at the same time every day without fail.",Triple Bird Pokémon,"normal,flying",5′11″,187.8,https://pokeapi.co/api/v2/pokemon-species/85/,"Each head controls a different basic emotion; one expresses joy, one sadness, and one anger. They can also use their three heads to conceive complex plans to search for food or defend themselves. However, they may occasionally over-exhaust themselves with this, and will remain motionless for extended periods of time while recovering. Their heads do argue sometimes, since the emotions they control tend to disagree. However, like many internal conflicts, these inner spats are usually solved with food. Since they share the same stomach, when one of the heads eats, the other two will be satisfied as well. Those who live near Dodrio may be woken up early in the morning by their raucous calls—they squawk at the same time every day without fail.""one of doduo's 2 heads splits to form a unique species. it runs close to 40 mph in prairies."", 'it collects data  and plans three times as wisely, but it may think too much and be\xad come immobilized.', 'apparently, the heads aren’t the only parts of the body that dodrio has three of. it has three sets of hearts and lungs as well, so it is capable of running long distances without rest.', 'if one of the heads gets to eat, the others will be satisfied, too, and they will stop squabbling.', 'uses its three brains to execute complex plans. while two heads sleep, one head is said to stay awake.', 'an enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely.', 'when doduo evolves into this odd breed, one of its heads splits into two. it runs at nearly 40 mph.', 'an enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely.', 'an odd species that is rarely found. the three heads respectively represent joy, sadness, and anger.', 'uses its three brains to execute complex plans. while two heads sleep, one head stays awake.', 'apparently, the heads aren’t the only parts of the body that dodrio has three of. it has three sets of hearts and lungs as well, so it is capable of running long distances without rest.', 'an odd species that is rarely found. the three heads respectively represent joy, sadness, and anger.', 'if one of the heads gets to eat, the others will be satisfied, too, and they will stop squabbling.', 'a peculiar pokémon species with three heads. it vigorously races across grassy plains even in arid seasons with little rainfall.', 'watch out if dodrio’s three heads are looking in three separate directions. it’s a sure sign that it is on its guard. don’t go near this pokémon if it’s being wary—it may decide to peck you.', 'one of doduo’s two heads splits to form a unique species. it runs close to 40 mph in prairies.', 'watch out if dodrio’s three heads are looking in three separate directions. it’s a sure sign that it is on its guard. don’t go near this pokémon if it’s being wary - it may decide to peck you.', 'it collects data and plans three times as wisely, but it may think too much and fall into a state of immobility.', 'when doduo evolves into this odd breed, one of its heads splits into two. it runs at nearly 40 mph.'"
seel,"Seel are vespertine Pokémon that are most active in the evening. Sometimes, one may see a Seel napping near the shoreline in the morning. When hunting, they dive underwater for extended periods of time. When they need to breathe, they surface and break through sea ice with their horns (and tusks if necessary). When Seel swim, they close their nostrils tightly to block out water. They are highly social Pokémon, living in large, raucous groups on ice floes in the middle of the sea. Seel may play-fight with each other on these floes, sparring with their tusks and horns as well as Water-type and sometimes Ice-type attacks. This activity is important in teaching young Seel how to defend themselves against enemies.",Sea Lion Pokémon,water,3′07″,198.4,https://pokeapi.co/api/v2/pokemon-species/86/,"Seel are vespertine Pokémon that are most active in the evening. Sometimes, one may see a Seel napping near the shoreline in the morning. When hunting, they dive underwater for extended periods of time. When they need to breathe, they surface and break through sea ice with their horns (and tusks if necessary). When Seel swim, they close their nostrils tightly to block out water. They are highly social Pokémon, living in large, raucous groups on ice floes in the middle of the sea. Seel may play-fight with each other on these floes, sparring with their tusks and horns as well as Water-type and sometimes Ice-type attacks. This activity is important in teaching young Seel how to defend themselves against enemies.'seel hunts for prey in the frigid sea underneath sheets of ice. when it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.', 'although it can’t walk well on land, it is a graceful swimmer. it especially loves being in frigid seas.', 'in daytime, it is often found asleep on the seabed in shallow waters. its nostrils close while it swims.', 'a pokémon that lives on icebergs. it swims in the sea using the point on its head to break up ice.', 'covered with light blue fur, its hide is thick and tough. it is active in bitter cold of -40 degrees fahrenheit.', 'loves freezing-cold conditions. relishes swimming in a frigid climate of around 14 degrees fahrenheit.', 'seel hunts for prey in the frigid sea underneath sheets of ice. when it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.', 'a pokémon that lives on icebergs. it swims in the sea using the point on its head to break up ice.', 'seel hunt for prey in frigid, ice-covered seas. when it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.', 'loves freezing cold conditions. relishes swimming in a frigid cli\xad mate of around 14f degrees.', 'covered with light blue fur, its hide is thick and tough. it is active in bitter cold of minus 40 degrees fahrenheit.', 'the light blue fur that covers it keeps it protected against the cold. it loves iceberg- filled oceans.', 'the protruding horn on its head is very hard. it is used for bashing through thick icebergs.', 'in daytime, it is often found asleep on the seabed in shallow waters. its nostrils close while it swims.', 'the colder it gets, the better it feels. it joyfully swims around oceans so cold that they are filled with floating ice.', 'thanks to its thick fat, cold seas don’t bother it at all, but it gets tired pretty easily in warm waters.', ""although it can't walk well on land, it is a graceful swimmer. it espe\xad cially loves being in frigid seas."", 'it has always been supposed that seel live only in cold seas. their having shown up in alola is a mystery.', 'the protruding horn on its head is very hard. it is used for bashing through thick ice.'"
dewgong,"Like Seel, Dewgong prefer frigid waters. They can swim at a steady 8 knots, undeterred by the cooler temperatures around them. In fact, like their pre-evolutions, Dewgong become more active in colder waters. When resting, though they do still sometimes sleep on the ocean floor or shore like Seel, they now prefer to rest on ice floes. Recent studies show that they are in fact sunbathing while doing so, with the increased temperature aiding their digestion. There, their pristine white fur can camouflage them against predators.Dewgong no longer use their tusks and horns to play-fight, since they stop growing at this stage. However, they are still useful for poking breathing holes into ice floes while swimming under them to resurface for air.",Sea Lion Pokémon,"water,ice",5′07″,264.6,https://pokeapi.co/api/v2/pokemon-species/87/,"Like Seel, Dewgong prefer frigid waters. They can swim at a steady 8 knots, undeterred by the cooler temperatures around them. In fact, like their pre-evolutions, Dewgong become more active in colder waters. When resting, though they do still sometimes sleep on the ocean floor or shore like Seel, they now prefer to rest on ice floes. Recent studies show that they are in fact sunbathing while doing so, with the increased temperature aiding their digestion. There, their pristine white fur can camouflage them against predators.Dewgong no longer use their tusks and horns to play-fight, since they stop growing at this stage. However, they are still useful for poking breathing holes into ice floes while swimming under them to resurface for air.'it sunbathes on the beach after meals. the rise in its body temperature helps its digestion.', 'dewgong loves to snooze on bitterly cold ice. the sight of this pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.', 'in snow, the pure white coat covering its body obscures it from predators.', 'dewgong loves to snooze on bitterly cold ice. the sight of this pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.', 'stores thermal energy in its body. swims at a steady 8 knots even in intensely cold waters.', 'it swims through the ocean at a speed of eight knots, searching for pokémon that will become its prey. it’s especially fond of wishiwashi.', 'it loves frigid seas with ice floes. it uses its long tail to change swimming direction quickly.', 'its body is covered with a pure white fur. the colder the weather, the more active it becomes.', 'its streamlined body has low resistance, and it swims around cold oceans at a speed of eight knots.', 'its streamlined body has little drag in water. the colder the temperature, the friskier it gets.', ""it sleeps under shallow ocean waters during the day, then looks for food at night when it's cold."", 'it loves frigid seas with ice floes. it uses its long tail to change swimming direction quickly.', 'its body is covered with a pure white fur. the colder the weather, the more active it becomes.', 'it loves to snooze on bitterly cold ice. the sight of this pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.', 'it stores thermal energy in the body. it swims at a steady eight knots even in intensely cold waters.', 'dewgong loves to snooze on bitterly cold ice. the sight of this pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.', 'its entire body is a snowy white. unharmed by even intense cold, it swims powerfully in icy waters.', 'its streamlined body has little drag in water. the colder the temperature, the friskier it gets.', 'its streamlined body has little drag in water. the colder the temperature, the friskier it gets.', 'its entire body is a snowy-white. unharmed by even intense cold, it swims powerfully in icy waters.'"
